file_name,stem,extension,path,relative_path,size_mb,modified_at,match_key,exists_in_mosaic
GEOSP-TRN-001426_GS_ORTOFOTO EB2 28-12-2025.tif,GEOSP-TRN-001426_GS_ORTOFOTO EB2 28-12-2025,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001426_GS_ORTOFOTO EB2 28-12-2025.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001426_GS_ORTOFOTO EB2 28-12-2025.tif,110.944,2026-06-11 10:37:57,\\amssclgis10.ams.gmams.cl\cl_mlp_pao\vuelos_drone_sin_procesar\input\20260206_geosupport_primera entrega\solo_tif_02jun26\geosp-trn-001426_gs_ortofoto eb2 28-12-2025.tif,False
GEOSP-TRN-001492_GS_ORTOFOTO_Estacion de bombeo n°2.tif,GEOSP-TRN-001492_GS_ORTOFOTO_Estacion de bombeo n°2,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001492_GS_ORTOFOTO_Estacion de bombeo n°2.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001492_GS_ORTOFOTO_Estacion de bombeo n°2.tif,155.039,2026-06-11 10:38:02,\\amssclgis10.ams.gmams.cl\cl_mlp_pao\vuelos_drone_sin_procesar\input\20260206_geosupport_primera entrega\solo_tif_02jun26\geosp-trn-001492_gs_ortofoto_estacion de bombeo n°2.tif,False
GEOSP-TRN-001553_GS_ORTOFOTO_EB2_20-12-2025.tif,GEOSP-TRN-001553_GS_ORTOFOTO_EB2_20-12-2025,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001553_GS_ORTOFOTO_EB2_20-12-2025.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001553_GS_ORTOFOTO_EB2_20-12-2025.tif,147.589,2026-06-11 10:38:05,\\amssclgis10.ams.gmams.cl\cl_mlp_pao\vuelos_drone_sin_procesar\input\20260206_geosupport_primera entrega\solo_tif_02jun26\geosp-trn-001553_gs_ortofoto_eb2_20-12-2025.tif,False
GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026.tif,GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026.tif,180.745,2026-06-11 10:38:07,\\amssclgis10.ams.gmams.cl\cl_mlp_pao\vuelos_drone_sin_procesar\input\20260206_geosupport_primera entrega\solo_tif_02jun26\geosp-trn-001642_ortofoto_eb2_03-01-2026.tif,False
GEOSP-TRN-001732_GS_ORTOFOTO_EB2_17-01-26.tif,GEOSP-TRN-001732_GS_ORTOFOTO_EB2_17-01-26,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001732_GS_ORTOFOTO_EB2_17-01-26.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001732_GS_ORTOFOTO_EB2_17-01-26.tif,164.324,2026-06-11 10:38:09,\\amssclgis10.ams.gmams.cl\cl_mlp_pao\vuelos_drone_sin_procesar\input\20260206_geosupport_primera entrega\solo_tif_02jun26\geosp-trn-001732_gs_ortofoto_eb2_17-01-26.tif,False
GEOSP-TRN-001784_GS_ORTOFOTO_Estacion de bombeo n°2.tif,GEOSP-TRN-001784_GS_ORTOFOTO_Estacion de bombeo n°2,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001784_GS_ORTOFOTO_Estacion de bombeo n°2.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001784_GS_ORTOFOTO_Estacion de bombeo n°2.tif,96.611,2026-06-11 10:38:11,\\amssclgis10.ams.gmams.cl\cl_mlp_pao\vuelos_drone_sin_procesar\input\20260206_geosupport_primera entrega\solo_tif_02jun26\geosp-trn-001784_gs_ortofoto_estacion de bombeo n°2.tif,False
GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026.tif,GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026.tif,128.088,2026-06-11 10:38:15,\\amssclgis10.ams.gmams.cl\cl_mlp_pao\vuelos_drone_sin_procesar\input\20260206_geosupport_primera entrega\solo_tif_02jun26\geosp-trn-001868_gs_ortofoto eb2 04-02-2026.tif,False
GEOSP-TRN-001975_GS_ORTOFOTO_Estacion de bombeo n°2.tif,GEOSP-TRN-001975_GS_ORTOFOTO_Estacion de bombeo n°2,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001975_GS_ORTOFOTO_Estacion de bombeo n°2.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001975_GS_ORTOFOTO_Estacion de bombeo n°2.tif,147.604,2026-06-11 10:38:18,\\amssclgis10.ams.gmams.cl\cl_mlp_pao\vuelos_drone_sin_procesar\input\20260206_geosupport_primera entrega\solo_tif_02jun26\geosp-trn-001975_gs_ortofoto_estacion de bombeo n°2.tif,False
GEOSP-TRN-002016_GS_ORTOFOTO_EB2_26-02-26.tif,GEOSP-TRN-002016_GS_ORTOFOTO_EB2_26-02-26,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002016_GS_ORTOFOTO_EB2_26-02-26.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002016_GS_ORTOFOTO_EB2_26-02-26.tif,39.182,2026-06-11 10:38:21,\\amssclgis10.ams.gmams.cl\cl_mlp_pao\vuelos_drone_sin_procesar\input\20260206_geosupport_primera entrega\solo_tif_02jun26\geosp-trn-002016_gs_ortofoto_eb2_26-02-26.tif,False
GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026.tif,GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026.tif,225.507,2026-06-11 10:38:24,\\amssclgis10.ams.gmams.cl\cl_mlp_pao\vuelos_drone_sin_procesar\input\20260206_geosupport_primera entrega\solo_tif_02jun26\geosp-trn-002096_gs_ortofoto_eb2_07-03-2026.tif,False
